User Language,IPSP name,URL,Geographic region,Country,Publication languages,Parent organisation,Parent organisation name,Does the IPSP only provide services to its parent organisation?,IPSP/parent organisation legal entity,IPSP/parent organisation legal entity (free text),Type of IPSP,Services provided,Services provided (free text),Publish or provide service - Academic Journals,Publish or provide service - Academic Books,Publish or provide service - Conference outputs,Publish or provide service - Grey literature,"Publish or provide service - Other research products (e.g. media, digital)",Publish or provide service - Non-academic outputs,"Publish or provide service - Other (e.g. datasets, digital scholarship, software)",Disciplines
English,Journal Communications - Scientific Letters of the University of Žilina,https://komunikacie.uniza.sk,Eastern Europe,Slovakia,English,Yes,University of Žilina,[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Engineering and technology
French,Maison d'édition scientifique de l'université de Strasbourg (Presses universitaires de Strasbourg),https://pus.unistra.fr/,Western Europe,France,French - English - German,Yes,Université de Strasbourg,Yes,Withdrawn,[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,"Social sciences,Humanities"
English,"University of Belgrade - Faculty of Philosophy, Department of Ethnology and Anthropology",https://www.f.bg.ac.rs/etnologija_antropologija,Southern Europe,Serbia,Serbian - English - French,Yes,University of Belgrade - Faculty of Philosophy,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,Publish,Publish,[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,Scenario Journal,http://scenario.ucc.ie,Northern Europe,Republic of Ireland,English - German - Italian,Yes,University College Cork,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication",,Publish,Publish,Publish,[No response],Publish,[No response],[No response],Humanities
English,Tidsskrift.dk,https://tidsskrift.dk,Northern Europe,Denmark (including Faroe Islands and Greenland),Danish - English - Norwegian - Swedish - Portuguese,Yes,Royal Danish Library,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Administrative, legal and financial, Training, support and/or advice",,Service,[No response],Service,[No response],[No response],Service,[No response],"Multidisciplinary,Social sciences,Humanities"
English,Suomalaisen Kirjallisuuden Seuran tiedekustantamo / Scholarly Publishing department of the Finnish Literature Society,https://oa.finlit.fi/,Northern Europe,Finland (including Åland Islands),Finnish - English,Yes,Suomalaisen Kirjallisuuden Seura / Finnish Literature Society,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice, Other",Digital editions based on open data.,[No response],Publish and Service,[No response],[No response],[No response],[No response],Publish and Service,Humanities
English,Suomen Kielen Seura / Sananjalka,https://journal.fi/sananjalka,Northern Europe,Finland (including Åland Islands),Finnish,Yes,Suomen Kielen Seura,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Withdrawn,Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Humanities
English,Directory of Open Access Journals,https://doaj.org/,Northern Europe,Denmark (including Faroe Islands and Greenland),English,Yes,Infrastructure Services for Open Access C.I.C. (IS4OA),No,Other (please describe),Community Interest Company,Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Training, support and/or advice, Other",Indexation,Service,[No response],Service,[No response],[No response],[No response],Service,"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities"
English,AU Library Scholarly Publishing Services,https://ebooks.au.dk/aul,Northern Europe,Denmark (including Faroe Islands and Greenland),Danish - English,Yes,Royal Danish Library,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,[No response],Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,Trinity College Dublin Research Informatics,https://www.tcd.ie/library/support/research.php,Northern Europe,Republic of Ireland,[No response],Yes,Trinity College Dublin,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Training, support and/or advice",,Service,Service,[No response],Publish and Service,Publish and Service,[No response],[No response],Multidisciplinary
English,Tampere University Press,https://www.tuni.fi/tup,Northern Europe,Finland (including Åland Islands),Finnish - English - Swedish,Yes,Tampere University,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,[No response],Publish,[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,Dublin Business School,https://libguides.dbs.ie/dbslibrarypress,Northern Europe,Republic of Ireland,English - Irish,Yes,Dublin Business School,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Training, support and/or advice",,Publish,[No response],Publish,[No response],Publish,[No response],[No response],Multidisciplinary
English,"Boole Library, University College Cork",https://libguides.ucc.ie/library,Northern Europe,Republic of Ireland,English - German - Irish,Yes,University College Cork,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Communication, Training, support and/or advice",,Publish and Service,Publish,Publish,Publish,Publish,Publish,Publish,Withdrawn
English,Åbo Akademi University Press & Åbo Akademi University Library,"https://www.abo.fi/en/abo-akademi-university-press/, and, https://www.abo.fi/en/library/publish/",Northern Europe,Finland (including Åland Islands),Swedish - English - Finnish,Yes,Åbo Akademi University,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Administrative, legal and financial, Training, support and/or advice",,Service,Publish and Service,Service,Service,[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Social sciences,Humanities"
English,CBS Open Journals,https://rauli.cbs.dk/,Northern Europe,Denmark (including Faroe Islands and Greenland),English - Danish,Yes,Copenhagen Business School,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],Publish and Service,[No response],"Social sciences,Humanities"
English,Suomen antropologi: Journal of the Finnish Anthropological Society,https://journal.fi/suomenantropologi/,Northern Europe,Finland (including Åland Islands),English,Yes,Finnish Anthropological Society,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,Helsinki University Press,https://hup.fi/,Northern Europe,Finland (including Åland Islands),English,Yes,University of Helsinki,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,Scand J Work Environ Health,https://www.sjweh.fi/,Northern Europe,Finland (including Åland Islands),English,Yes,Nordic Association of Occupational Safety and Health (NOROSH),Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Medical and health sciences
German,Saarländische Universitäts- und Landesbibliothek,https://www.sulb.uni-saarland.de,Western Europe,Germany,German - English - French,Yes,Saarland University,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Withdrawn,"Production, IT, Administrative, legal and financial",,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
English,Wolters Kluwer India Pvt. Ltd.,https://www.medknow.com,Rest of World,India,English,Yes,Wolters Kluwer,No,Other (please describe),IPSP is a company but the parent organization is a Corporation,Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Medical and health sciences
